f1 ,  2.99e-06  2.84e-04  3.78e-02  1.19e-01  1.45e+00
f2 ,  1.32e-03  2.47e+00  9.19e+01  1.51e+03  3.75e+04
f3 ,  2.25e-03  2.40e-01  9.68e-01  3.73e+00  1.40e+01
f4 ,  2.57e-01  7.58e-01  1.18e+00  6.91e+00  2.80e+01
f5 ,  3.73e-15  8.98e-16  2.91e-14  2.53e-01  5.40e+00
f6 ,  1.07e-01  6.23e-01  1.13e+00  8.75e+00  5.58e+01
f7 ,  7.06e-02  2.69e-02  3.62e-01  3.68e+00  1.91e+01
f8 ,  2.46e-02  3.52e-01  4.19e+00  5.01e+01  6.40e+02
f9 ,  1.55e-02  2.92e-01  5.79e+00  3.17e+01  4.20e+02
f10,  3.57e+00  1.78e+02  4.86e+02  7.44e+03  7.27e+04
f11,  3.64e+00  9.50e+00  8.13e+00  1.98e+01  3.39e+01
f12,  1.24e+00  1.75e+01  2.75e+03  1.81e+05  4.36e+06
f13,  3.71e-01  2.50e+00  6.15e+00  2.74e+01  6.74e+01
f14,  1.93e-02  1.65e-03  1.88e-02  1.34e-01  2.06e+00
f15,  4.71e-01  1.25e+00  3.42e+00  8.61e+00  2.20e+01
f16,  3.34e-02  2.06e-01  7.81e-01  2.23e+00  3.59e+00
f17,  1.17e-02  2.93e-02  1.40e-01  3.13e-01  6.82e-01
f18,  2.62e-01  3.74e-01  4.10e-01  2.52e+00  2.43e+00
f19,  6.42e-03  4.57e-02  2.62e-01  4.86e-01  5.83e-01
f20,  1.24e-01  2.84e-01  2.44e-01  3.10e-01  2.22e+01
f21,  5.73e-04  5.01e-03  5.98e-01  2.61e+00  7.14e+00
f22,  2.39e-02  2.29e-01  7.48e-01  3.77e+00  1.03e+01
f23,  2.78e-01  3.79e-01  2.45e-01  3.97e-01  3.64e-01
f24,  5.95e-01  9.42e-01  3.44e+00  8.38e+00  1.34e+01
