f1 ,  0.00e+00  0.00e+00  0.00e+00  4.91e-15  2.97e-14
f2 ,  0.00e+00  0.00e+00  0.00e+00  3.68e-01  3.04e+03
f3 ,  2.48e-01  5.74e-01  1.61e+00  4.79e+00  7.19e+00
f4 ,  6.36e-01  1.14e+00  2.76e+00  6.72e+00  1.63e+01
f5 ,  3.73e-15  8.98e-16  2.91e-14  2.95e-14  3.81e-14
f6 ,  4.43e-16  4.75e-15  3.72e-14  7.84e-09  1.32e-02
f7 ,  0.00e+00  1.89e-15  9.71e-15  2.56e-01  2.91e+00
f8 ,  0.00e+00  0.00e+00  5.81e-02  1.51e+00  2.52e+00
f9 ,  0.00e+00  0.00e+00  0.00e+00  1.32e+00  1.43e+01
f10,  0.00e+00  0.00e+00  0.00e+00  1.46e-01  2.13e+03
f11,  0.00e+00  0.00e+00  1.77e-15  3.63e-03  1.18e+02
f12,  9.58e-03  1.32e-01  4.08e-01  9.55e-01  4.06e+00
f13,  2.41e-12  5.56e-12  2.51e-09  4.61e-01  4.05e+00
f14,  8.92e-14  2.76e-13  1.49e-12  6.24e-07  1.12e-04
f15,  4.00e-01  5.83e-01  1.39e+00  3.40e+00  2.62e+01
f16,  0.00e+00  1.17e-01  3.51e-01  2.22e+00  2.24e+00
f17,  1.45e-13  7.32e-06  3.16e-03  1.19e+00  5.11e-02
f18,  7.81e-01  1.55e-01  1.78e-01  3.71e-01  1.01e+00
f19,  4.34e-03  7.93e-02  2.63e-01  9.22e-01  3.04e-01
f20,  3.49e-01  2.92e-01  3.46e-01  3.34e-01  2.76e-01
f21,  1.73e-01  4.64e-01  7.08e-01  1.84e+00  2.88e+00
f22,  1.92e-01  5.23e-01  8.75e-01  1.28e+01  1.06e+01
f23,  1.48e-01  5.84e-01  5.77e-01  3.73e-01  4.29e-01
f24,  8.58e-01  1.22e+00  2.56e+00  1.37e+01  1.14e+01
