f1 ,  0.00e+00  0.00e+00  6.89e-14  2.97e-07  3.88e-01
f2 ,  6.97e-01  5.53e+00  8.99e+01  1.26e+03  2.00e+04
f3 ,  0.00e+00  2.65e-01  2.71e+00  1.42e+01  6.18e+01
f4 ,  2.87e-14  1.21e+00  3.88e+00  1.72e+01  7.63e+01
f5 ,  6.51e-16 -2.96e-16 -7.40e-15  1.53e+00  1.90e+01
f6 ,  4.13e-11  2.99e-03  1.67e+00  1.65e+01  1.51e+02
f7 ,  1.66e-15  2.05e-13  4.04e-01  2.81e+00  2.72e+01
f8 ,  5.50e-06  4.17e-01  9.61e-01  7.62e+00  8.72e+01
f9 ,  5.35e-07  9.26e-02  1.50e+00  1.03e+01  6.51e+01
f10,  6.91e+00  5.41e+00  3.16e+02  5.89e+03  6.04e+04
f11,  4.49e+00  1.15e+01  2.53e+01  7.39e+01  1.83e+02
f12,  7.09e-01  9.94e+00  1.51e+01  1.76e+05  2.42e+05
f13,  3.38e-02  1.00e+00  1.06e+01  2.04e+01  1.01e+02
f14,  5.39e-06  5.18e-05  2.84e-04  2.03e-03  5.05e-01
f15,  1.33e-01  1.67e+00  6.20e+00  2.70e+01  1.12e+02
f16,  2.28e-02  6.28e-02  3.74e-01  4.07e+00  1.47e+01
f17,  1.98e-06  6.52e-03  2.26e-02  5.54e-01  1.93e+00
f18,  6.99e-02  2.37e-01  1.35e-01  1.69e+00  7.27e+00
f19,  1.05e-03  5.46e-02  5.50e-01  2.75e+00  5.39e+00
f20,  7.90e-02  2.31e-01  5.47e-01  1.08e+00  1.64e+00
f21,  0.00e+00  2.49e-01  1.13e+00  2.43e+00  4.67e+00
f22,  2.19e-01  9.22e-02  9.57e-01  3.25e+00  1.32e+01
f23,  2.96e-01  7.11e-01  8.43e-01  1.59e+00  2.59e+00
f24,  1.41e+00  3.53e+00  1.01e+01  4.98e+01  1.50e+02
