f1 ,  0.00e+00  0.00e+00  1.53e-13  5.86e-07  8.60e-01
f2 ,  2.48e+00  1.47e+01  2.64e+02  1.28e+03  3.84e+04
f3 ,  0.00e+00  4.40e-01  1.66e+00  6.23e+00  1.60e+01
f4 ,  7.26e-14  9.86e-01  1.61e+00  8.15e+00  1.61e+01
f5 ,  3.73e-15  8.98e-16  2.91e-14  3.93e+00  1.85e+01
f6 ,  1.09e-10  1.12e-02  4.04e+00  1.30e+01  8.30e+01
f7 ,  3.86e-15  2.51e-13  5.88e-01  2.42e+00  2.07e+01
f8 ,  1.26e-05  1.10e+00  5.18e-01  2.90e+00  8.16e+01
f9 ,  1.12e-06  2.38e-01  1.34e+00  1.01e+01  4.80e+01
f10,  1.81e+01  4.78e+00  4.61e+02  2.98e+03  3.07e+04
f11,  5.65e+00  1.14e+01  1.85e+01  2.49e+01  4.13e+01
f12,  2.08e+00  1.64e+01  1.65e+01  6.59e+05  5.00e+05
f13,  4.69e-02  1.76e+00  1.38e+01  2.62e+01  8.64e+01
f14,  9.51e-06  4.85e-05  1.71e-04  6.65e-04  8.83e-01
f15,  3.38e-01  2.26e+00  3.26e+00  1.29e+01  2.67e+01
f16,  7.90e-02  8.57e-02  6.14e-01  2.85e+00  3.66e+00
f17,  7.17e-06  2.27e-02  3.44e-02  6.75e-01  8.31e-01
f18,  2.55e-01  3.70e-01  1.73e-01  1.21e+00  2.76e+00
f19,  3.92e-03  4.61e-02  2.14e-01  4.63e-01  8.67e-01
f20,  2.01e-01  2.70e-01  3.19e-01  2.58e-01  2.10e-01
f21,  0.00e+00  5.12e-01  7.89e-01  1.87e+00  5.13e+00
f22,  6.57e-01  2.35e-01  1.37e+00  5.20e+00  1.28e+01
f23,  2.23e-01  3.25e-01  3.98e-01  2.16e-01  5.53e-01
f24,  9.00e-01  3.32e-01  3.20e+00  5.00e+00  1.33e+01
