% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
8 +3.841847180e+01 +3.841847180e+01 +2.524284718e+02 +2.524284718e+02 -6.1480e-02 -2.1504e+00 +1.8423e+00 +1.2675e+00 +4.6864e+00 -4.9194e+00 -3.2048e+00 -1.7748e+00 +3.8570e+00 -4.5263e+00 -1.0737e+00 +7.6556e-01 +9.9805e-01 -2.1111e+00 +4.1982e+00 +1.0500e+00 -6.5488e-01 -4.6442e+00 -1.7257e+00 +1.6445e-01
34 +2.374551768e+01 +2.374551768e+01 +2.377555177e+02 +2.377555177e+02 +1.9579e+00 -1.3992e+00 +4.2443e-01 -2.0133e+00 +6.9690e-01 +1.7927e+00 +5.3336e-01 -7.7281e-02 -7.1950e-01 -2.6581e+00 +3.3433e+00 -2.3395e+00 +3.2622e+00 -2.9135e-01 -2.9149e+00 +4.3758e-01 -2.0475e+00 -2.1044e-01 +2.2182e+00 +2.9671e+00
158 +1.483877013e+01 +1.483877013e+01 +2.288487701e+02 +2.288487701e+02 +9.4815e-01 +1.9235e+00 +2.7119e+00 +0.0000e+00 -4.8498e-01 -1.6967e+00 +2.4409e+00 +0.0000e+00 +2.6259e-01 +0.0000e+00 +9.9432e-01 +0.0000e+00 -4.0021e+00 +6.4357e-01 +1.3355e-01 +9.5118e-02 -1.9560e+00 -7.9662e-01 +3.8681e+00 -2.4797e-01
598 +9.215143038e+00 +9.215143038e+00 +2.232251430e+02 +2.232251430e+02 -6.2105e-01 -8.3441e-01 -2.9811e+00 -2.1975e-01 -9.2637e-01 +1.9586e-01 -5.2480e-01 -7.0716e-01 +2.8611e+00 -1.9062e+00 +0.0000e+00 -1.1338e+00 -1.0356e+00 +4.2318e-01 -9.3736e-02 +1.7522e+00 +5.1873e-01 +9.4025e-01 +6.9010e-02 +0.0000e+00
3502 +6.280633945e+00 +6.280633945e+00 +2.202906339e+02 +2.202906339e+02 +1.9734e+00 -1.1665e+00 +9.3415e-01 +2.0379e+00 -3.7261e-02 -3.5938e-01 -1.0505e+00 -6.2905e-01 +2.7282e+00 -1.5717e+00 +5.5524e-01 +1.2450e+00 -1.0482e+00 +1.8485e+00 -2.0791e+00 -3.9751e-01 +3.1147e-01 -1.5934e+00 +1.2412e+00 -1.8938e+00
% function evaluation | noise-free fitness - Fopt (-5.848000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.980317363e+01 +5.980317363e+01 +1.323173626e+00 +1.323173626e+00 +4.2098e+00 +4.7475e+00 +2.9989e+00 +3.3552e+00 +1.8462e+00 +1.3852e+00 +6.9421e-01 +2.2978e+00 +4.6714e+00 -2.4774e+00 +2.3695e+00 -4.9718e+00 -1.7902e+00 -4.1369e+00 -1.8782e+00 -3.6819e+00 +1.8349e+00 -2.8666e-01 +6.1993e-01 -9.2397e-01
4 +3.742714534e+01 +3.742714534e+01 -2.105285466e+01 -2.105285466e+01 +3.4963e+00 +2.0307e+00 +2.2864e-01 -1.4522e+00 -2.6644e+00 -8.1015e-01 -3.6877e+00 -3.7849e+00 +1.6622e-01 -2.6806e+00 -2.4824e+00 +3.1856e+00 +2.2651e+00 +3.7419e+00 -2.2535e+00 +1.6667e+00 -2.9593e+00 -3.4274e+00 +4.7402e+00 -3.4031e+00
14 +2.096942348e+01 +2.096942348e+01 -3.751057652e+01 -3.751057652e+01 -2.4430e+00 +6.1359e-01 +4.5438e-01 -9.4125e-02 +2.7586e+00 -1.0514e+00 -1.7765e+00 +8.9286e-01 -3.0842e+00 -1.7135e+00 -7.5026e-02 +2.1422e+00 -8.2400e-01 -2.7829e+00 +5.4593e-01 -3.9586e+00 +3.8314e+00 +1.5614e+00 +7.9404e-01 -3.2061e+00
94 +1.519777259e+01 +1.519777259e+01 -4.328222741e+01 -4.328222741e+01 +5.4076e-01 +1.6019e+00 +8.5501e-01 -1.7105e+00 +2.1050e+00 -3.4367e+00 -1.7765e+00 +8.4581e-01 -2.7481e+00 -7.2548e-01 +1.0799e+00 -5.2297e-01 +1.7636e-01 +4.1229e+00 +2.0134e+00 -1.1987e+00 +5.6327e-02 -2.5368e+00 +1.0574e+00 -5.0159e-01
157 +7.471079944e+00 +7.471079944e+00 -5.100892006e+01 -5.100892006e+01 +0.0000e+00 +1.9833e+00 +5.1126e-01 -8.6917e-01 +1.3924e+00 +8.3702e-01 +1.2516e+00 +1.7460e-01 -1.2589e-01 -7.3139e-01 -1.7106e+00 -1.2424e+00 +3.9101e-01 +2.3019e-02 +0.0000e+00 +0.0000e+00 -1.5767e+00 +0.0000e+00 -7.1198e-01 +1.3344e+00
2001 +5.472995312e+00 +5.472995312e+00 -5.300700469e+01 -5.300700469e+01 -3.3413e-01 +1.8604e+00 +4.3348e-01 -5.2769e-01 +1.1906e+00 +2.8096e+00 +1.4545e+00 +1.0127e+00 -7.6458e-01 -1.2445e+00 +0.0000e+00 -9.3484e-01 -4.5362e-02 +6.8923e-01 +9.6359e-03 -3.8871e-01 -1.7216e+00 +7.6238e-01 -4.2920e-01 +1.1203e+00
% function evaluation | noise-free fitness - Fopt (-6.130800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.224917681e+01 +9.224917681e+01 -5.208308232e+02 -5.208308232e+02 +2.1613e+00 +4.0415e+00 +2.0515e+00 +2.9010e+00 +4.3800e+00 +3.3204e+00 -2.5210e+00 -4.1602e+00 +3.9635e+00 +1.0224e+00 +4.1669e+00 -4.3291e+00 +1.2258e+00 -3.5980e+00 +4.6935e+00 -1.4937e+00 +9.8144e-01 +4.4237e-01 -3.3452e+00 +4.5459e+00
2 +3.743181188e+01 +3.743181188e+01 -5.756481881e+02 -5.756481881e+02 +4.9258e+00 -1.7815e+00 -7.9181e-01 +8.4481e-01 -4.5687e-01 +1.1772e+00 -1.9313e+00 +2.1314e+00 -2.6275e+00 +4.8836e-01 -1.8027e+00 -3.6168e+00 -2.3908e+00 +3.0977e+00 -3.0877e+00 -2.0785e+00 -1.6039e+00 +1.7259e+00 +2.0111e+00 +2.2009e+00
55 +2.314511707e+01 +2.314511707e+01 -5.899348829e+02 -5.899348829e+02 +2.0124e+00 +1.5579e+00 -1.4658e+00 -1.4099e+00 +3.3059e-01 -1.1085e+00 -2.1128e+00 +5.7428e-01 +1.6144e+00 +5.0000e+00 -9.8600e-01 +2.0285e+00 -1.6782e+00 +2.2553e+00 -4.5811e-01 +1.8946e+00 +1.3720e+00 -3.3802e+00 -4.5187e+00 -1.3647e-01
136 +1.570296019e+01 +1.570296019e+01 -5.973770398e+02 -5.973770398e+02 +1.3756e-01 -1.6653e+00 -2.0516e+00 +2.9071e+00 +2.6736e+00 -3.8126e-01 -1.4261e+00 -1.6275e+00 -3.3340e+00 +0.0000e+00 -1.6525e+00 -2.7178e+00 -7.9524e-01 -9.7156e-01 +2.8484e+00 -3.1680e+00 +3.2995e+00 -1.3033e+00 +0.0000e+00 +6.1756e-01
603 +9.985587064e+00 +9.985587064e+00 -6.030944129e+02 -6.030944129e+02 -7.8978e-01 -2.7519e+00 -2.8752e+00 +0.0000e+00 -3.9861e-01 +3.7637e-02 -1.7239e+00 -2.7096e+00 -2.3778e+00 +0.0000e+00 -3.2099e+00 -8.3463e-01 +5.5027e-01 +3.6671e-01 -1.5403e-01 +1.8841e+00 -7.5853e-01 -1.5496e+00 +0.0000e+00 -2.5668e+00
