% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.624212865e+04 +2.624212865e+04 +2.636595865e+04 +2.636595865e+04 +2.8462e+00 +3.7590e-01 -3.2157e+00 -4.9992e-01 +2.9884e+00 -2.3259e+00 +1.9651e+00 +3.0495e-01 -2.1625e+00 -3.9914e-01
11 +1.754116581e+04 +1.754116581e+04 +1.766499581e+04 +1.766499581e+04 +3.5797e+00 +3.2827e+00 -2.8170e+00 +9.5926e-01 -1.4317e+00 -1.1992e+00 +2.6563e+00 -1.1902e+00 +9.2427e-01 -2.2675e+00
13 +1.446397082e+04 +1.446397082e+04 +1.458780082e+04 +1.458780082e+04 +4.7669e+00 +6.8847e-01 -4.8751e+00 +1.3547e+00 +8.5469e-01 +1.7257e+00 +2.6693e+00 -2.0116e+00 +1.8200e+00 -1.3115e+00
96 +6.631178285e+03 +6.631178285e+03 +6.755008285e+03 +6.755008285e+03 -7.6525e-01 +1.9558e+00 -1.8360e+00 +1.8283e+00 -4.2461e-01 +2.4334e+00 +1.0544e+00 -7.6409e-01 +2.1970e+00 +5.2154e-01
115 +2.728780919e+03 +2.728780919e+03 +2.852610919e+03 +2.852610919e+03 +9.3164e-01 -1.0253e-01 -2.6499e+00 +7.7756e-01 -4.2944e-01 +7.1193e-01 +1.2271e+00 -4.4941e-01 +2.2816e-01 -6.4041e-01
128 +1.930635185e+03 +1.930635185e+03 +2.054465185e+03 +2.054465185e+03 +7.3898e-01 +9.4694e-01 -1.0179e+00 +1.4922e+00 -6.3590e-01 +1.2930e+00 +4.0051e-01 +9.8818e-01 +5.3186e-01 +1.4578e+00
164 +1.030471203e+03 +1.030471203e+03 +1.154301203e+03 +1.154301203e+03 +3.1464e-01 +4.8067e-01 -1.5827e+00 +1.4445e+00 +5.6323e-01 -7.8239e-02 -3.2710e-01 -5.9238e-01 +6.4075e-01 +8.2832e-01
227 +7.701918092e+02 +7.701918092e+02 +8.940218092e+02 +8.940218092e+02 +5.3771e-01 -1.6094e-01 -8.7940e-01 -4.9659e-01 +1.3526e-02 +5.6197e-01 -8.0524e-01 -9.1041e-01 +1.3370e+00 +5.6806e-01
234 +5.906914275e+02 +5.906914275e+02 +7.145214275e+02 +7.145214275e+02 +3.6736e-01 -8.2411e-01 -5.5879e-01 +1.4919e+00 +1.2319e+00 -2.5834e-01 -8.6724e-01 -7.4482e-01 +3.6699e-01 -7.7448e-01
249 +3.785228438e+02 +3.785228438e+02 +5.023528438e+02 +5.023528438e+02 +3.4772e-01 +1.0317e-01 -3.0562e-01 +9.8671e-01 +1.1826e+00 +1.0628e+00 -1.0143e+00 +1.2284e-01 +8.6197e-01 -1.5611e-01
