% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.011369486e+08 +4.011369486e+08 +4.011363275e+08 +4.011363275e+08 -8.0539e-01 +1.1899e+00 +3.9087e+00 +2.0490e-01 +1.4148e+00 -4.1779e+00 +5.1287e-01 +4.0880e+00 +1.9960e+00 +2.8521e+00 -6.5141e-01 -3.6400e+00 -1.8766e+00 +1.0030e+00 -4.3489e+00 -2.6088e+00 +2.9712e+00 +4.4605e+00 -4.1357e+00 +2.5025e+00
8 +3.071673632e+08 +3.071673632e+08 +3.071667421e+08 +3.071667421e+08 +4.9658e+00 +3.8209e+00 -1.9005e+00 -3.8311e-01 -4.0924e+00 +1.6461e-03 +2.2139e+00 +2.8659e+00 +2.8104e+00 +4.4725e+00 -4.6356e+00 -3.0231e+00 +4.1887e+00 +7.4516e-01 -3.4516e-01 -4.4788e+00 -5.3810e-01 +1.5520e+00 -3.2059e+00 +1.5069e+00
50 +2.073508651e+08 +2.073508651e+08 +2.073502440e+08 +2.073502440e+08 +3.3388e+00 +1.0402e+00 -1.3618e+00 +5.6394e-02 -4.1662e+00 +1.6199e+00 +2.5844e-01 +2.4313e+00 -5.9774e-01 +4.0487e+00 -4.5014e+00 +4.4404e+00 +5.0000e+00 -6.4605e-01 +2.8345e+00 -1.8981e+00 +1.9450e+00 +2.0144e+00 -2.0753e+00 +2.4310e+00
115 +1.389882921e+08 +1.389882921e+08 +1.389876710e+08 +1.389876710e+08 +1.6459e+00 +3.6088e+00 -2.0625e+00 -2.1423e+00 +1.6361e+00 +3.6899e-01 +6.7626e-01 -1.9915e-01 +3.4696e+00 +0.0000e+00 -4.1616e+00 +0.0000e+00 +2.4052e-02 +2.4872e+00 +1.8008e+00 -4.4987e+00 -7.2498e-01 +0.0000e+00 -4.8717e-01 +2.6391e+00
120 +9.814614835e+07 +9.814614835e+07 +9.814552724e+07 +9.814552724e+07 +7.6417e-01 +4.8637e+00 +1.8410e+00 -3.2495e+00 +1.0171e+00 +8.4959e-01 +1.9091e+00 +1.1946e+00 +2.1274e+00 +1.9723e+00 +4.2774e-01 +1.1445e+00 +0.0000e+00 -4.1331e-02 +0.0000e+00 -5.0000e+00 -2.8974e+00 -7.9459e-01 +2.1777e+00 -7.6255e-01
422 +5.324351084e+07 +5.324351084e+07 +5.324288973e+07 +5.324288973e+07 +5.7581e-01 +4.9097e+00 -6.4827e-01 -4.2581e+00 -4.9296e-01 +2.8253e-02 +1.8378e+00 +2.4119e+00 +3.9483e+00 +2.4356e-02 +1.6175e+00 +2.9304e+00 +7.5624e-01 +1.1610e+00 -8.0929e-01 -3.1811e+00 -1.6982e+00 +1.9481e+00 +2.8529e+00 -8.3226e-01
834 +3.805452328e+07 +3.805452328e+07 +3.805390217e+07 +3.805390217e+07 -3.8051e+00 +4.4877e+00 -1.2007e-01 -5.0000e+00 -2.0955e+00 +0.0000e+00 +1.8759e+00 -1.6995e+00 +2.6854e+00 +3.6890e-01 -9.0929e-01 +2.9335e+00 +4.8332e+00 +2.5228e+00 +2.3595e+00 -1.7413e+00 -8.2721e-02 +1.0111e+00 +1.5472e+00 +1.4829e+00
1203 +1.725777566e+07 +1.725777566e+07 +1.725715455e+07 +1.725715455e+07 -2.1641e+00 +4.7220e+00 +5.2096e-01 -4.8813e+00 +5.4719e-01 -2.0200e+00 +7.5471e-01 +0.0000e+00 +1.4412e+00 +2.5910e-01 +2.7424e+00 +1.5065e+00 +5.0000e+00 +0.0000e+00 +2.5919e+00 -2.5944e+00 +0.0000e+00 +1.5413e+00 +7.1917e-01 -1.7523e+00
1383 +1.570356074e+07 +1.570356074e+07 +1.570293963e+07 +1.570293963e+07 -1.8647e+00 +4.5618e+00 +4.9408e-01 -4.9531e+00 +7.2986e-01 -1.7532e+00 +8.7767e-01 +9.4844e-02 +1.9711e+00 +2.8789e-01 +2.9665e+00 +1.8923e+00 +5.0000e+00 +1.5097e+00 +2.7348e+00 -3.3138e+00 +1.1678e+00 +7.7594e-01 +6.4628e-02 -1.7922e+00
1559 +5.510955680e+06 +5.510955680e+06 +5.510334570e+06 +5.510334570e+06 -9.5121e-01 +4.4715e+00 -6.6113e-01 -4.9201e+00 +3.7665e-01 -1.5108e+00 +9.6432e-01 -1.3342e+00 +8.3333e-01 -3.6106e-01 +2.3634e-01 +2.5093e+00 +4.9094e+00 +1.5861e+00 +2.3828e+00 -1.3157e+00 +1.7992e+00 +1.7902e+00 +8.6846e-01 -2.1382e-01
2395 +3.895211022e+06 +3.895211022e+06 +3.894589912e+06 +3.894589912e+06 -1.2039e+00 +4.3736e+00 -9.4511e-01 -4.9306e+00 -3.2437e-01 -2.1705e+00 +8.6773e-01 -8.2708e-01 +1.3769e+00 -2.1356e-01 +4.2567e-01 +2.8203e+00 +4.9184e+00 +1.2452e+00 +2.6287e+00 -1.5244e+00 +1.8205e+00 +1.4996e+00 +6.7265e-01 +2.8244e-01
2846 +2.362734486e+06 +2.362734486e+06 +2.362113376e+06 +2.362113376e+06 -9.8691e-01 +4.0153e+00 -3.2844e-01 -4.9307e+00 -5.4096e-01 -1.9450e+00 +2.2292e-01 -6.7802e-01 +1.3756e+00 -2.6330e-01 +7.4029e-01 +2.6462e+00 +4.9386e+00 +1.2183e+00 +2.5966e+00 -1.5059e+00 +1.6014e+00 +1.5459e+00 +0.0000e+00 +1.1747e-01
3241 +1.512259292e+06 +1.512259292e+06 +1.511638182e+06 +1.511638182e+06 -1.4098e+00 +3.9329e+00 -2.5647e-01 -4.9661e+00 -2.6542e-01 -2.2380e+00 +6.8050e-01 -9.1951e-01 +1.1788e+00 -2.5294e-01 +7.5696e-01 +2.5967e+00 +4.8557e+00 +1.3039e+00 +2.5026e+00 -1.8305e+00 +1.7852e+00 +1.4796e+00 +4.9152e-02 +7.4379e-02
