f1 ,  0.00e+00  0.00e+00  0.00e+00  1.17e-12  1.69e+00
f2 ,  0.00e+00  0.00e+00  0.00e+00  4.34e+01  3.45e+03
f3 ,  0.00e+00  4.85e-01  4.75e+00  3.19e+01  1.64e+02
f4 ,  1.99e-01  1.07e+00  7.83e+00  4.77e+01  2.60e+02
f5 ,  6.51e-16 -2.96e-16 -7.40e-15 -7.40e-15  2.29e-14
f6 ,  0.00e+00  0.00e+00  4.04e-12  5.60e-02  1.30e+02
f7 ,  0.00e+00  5.20e-04  1.14e-02  3.00e+00  6.87e+01
f8 ,  0.00e+00  0.00e+00  5.24e-01  7.03e+00  1.54e+02
f9 ,  0.00e+00  0.00e+00  4.72e-01  3.68e+00  7.52e+01
f10,  0.00e+00  0.00e+00  0.00e+00  1.82e+01  3.10e+03
f11,  0.00e+00  0.00e+00  0.00e+00  3.07e+00  7.30e+01
f12,  2.46e-01  4.06e+00  9.29e-02  8.54e+00  4.52e+06
f13,  2.96e-16  2.65e-14  3.45e-13  5.40e-02  1.48e+02
f14, -7.40e-18 -7.40e-18  8.53e-15  2.68e-05  1.05e+00
f15,  1.99e-01  7.96e-01  3.53e+00  3.57e+01  2.05e+02
f16,  0.00e+00  3.41e-02  1.18e+00  1.20e+01  2.56e+01
f17, -6.48e-18  1.13e-05  7.57e-03  4.30e-01  5.00e+00
f18,  2.23e-08  7.08e-02  7.49e-02  2.80e+00  1.83e+01
f19,  5.24e-03  1.30e-02  7.93e-01  3.02e+00  5.37e+00
f20,  1.97e-01  2.11e-01  5.42e-01  1.28e+00  1.93e+00
f21,  6.20e-02  2.37e-01  7.27e-01  4.74e+00  8.19e+00
f22,  9.22e-02  4.61e-02  7.50e-01  6.86e+00  1.73e+01
f23,  3.41e-01  8.78e-01  1.46e+00  1.94e+00  3.42e+00
f24,  1.87e+00  2.92e+00  1.10e+01  4.87e+01  1.72e+02
