f1 ,  0.00e+00  0.00e+00  0.00e+00  3.95e-12  2.53e+00
f2 ,  0.00e+00  0.00e+00  0.00e+00  8.64e+01  2.59e+03
f3 ,  0.00e+00  5.23e-01  2.90e+00  1.44e+01  3.91e+01
f4 ,  5.39e-01  4.39e-01  4.62e+00  2.39e+01  7.15e+01
f5 ,  3.73e-15  8.98e-16  2.91e-14  2.95e-14  3.81e-14
f6 ,  0.00e+00  0.00e+00  6.84e-12  1.52e-01  6.44e+01
f7 ,  0.00e+00  1.95e-03  4.25e-02  3.20e+00  4.41e+01
f8 ,  0.00e+00  0.00e+00  1.34e+00  1.67e+01  1.79e+02
f9 ,  0.00e+00  0.00e+00  1.21e+00  2.17e+00  6.25e+01
f10,  0.00e+00  0.00e+00  0.00e+00  2.00e+01  2.77e+03
f11,  0.00e+00  0.00e+00  0.00e+00  6.84e+00  4.76e+01
f12,  9.13e-01  1.49e+01  1.74e-01  1.44e+01  7.48e+06
f13,  8.98e-16  4.98e-14  2.48e-13  1.72e-01  1.07e+02
f14,  2.77e-17  2.77e-17  2.82e-14  4.11e-05  1.13e+00
f15,  3.98e-01  7.45e-01  1.62e+00  1.60e+01  4.41e+01
f16,  0.00e+00  8.79e-02  1.92e+00  3.90e+00  2.76e+00
f17,  2.42e-17  2.89e-05  2.29e-02  4.24e-01  2.07e+00
f18,  8.33e-08  2.49e-01  1.49e-01  4.11e+00  7.65e+00
f19,  7.40e-03  2.62e-02  3.90e-01  6.55e-01  3.35e-01
f20,  2.79e-01  2.44e-01  2.32e-01  2.85e-01  3.41e-01
f21,  2.32e-01  4.11e-01  7.54e-01  5.25e+00  6.88e+00
f22,  2.35e-01  1.73e-01  1.86e+00  6.94e+00  1.47e+01
f23,  3.16e-01  5.13e-01  4.08e-01  5.30e-01  4.07e-01
f24,  6.65e-01  1.28e+00  3.00e+00  8.14e+00  1.45e+01
