% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.714941734e+01 +2.714941734e+01 -2.520058266e+01 -2.520058266e+01 +1.4896e+00 +4.5185e+00 +3.0776e+00 +1.3855e+00 -1.0275e+00 +1.2733e+00 -2.6072e+00 -4.2328e-01 +3.5561e+00 -2.2125e+00
43 +1.574145130e+01 +1.574145130e+01 -3.660854870e+01 -3.660854870e+01 -4.8376e-01 +9.4584e-01 +2.9608e+00 +1.2578e+00 +9.9793e-01 +3.9122e+00 -5.0000e+00 +3.5979e+00 +1.3519e+00 -3.1592e+00
53 +8.517453263e+00 +8.517453263e+00 -4.383254674e+01 -4.383254674e+01 +5.6224e-01 +1.4874e+00 +2.2588e+00 -2.4356e+00 -3.2549e+00 +2.9139e+00 -4.8145e+00 -7.5350e-02 +5.0000e+00 -1.1917e+00
298 +5.494487529e+00 +5.494487529e+00 -4.685551247e+01 -4.685551247e+01 +9.0525e-02 -2.6397e+00 +1.9801e+00 -3.8770e+00 -1.5591e+00 +2.3280e+00 -5.0000e+00 +0.0000e+00 +3.5204e+00 -8.1455e-02
451 +3.696614362e+00 +3.696614362e+00 -4.865338564e+01 -4.865338564e+01 -1.1681e+00 -1.4295e+00 +2.6839e+00 -2.1874e-01 -3.0342e+00 +4.2127e+00 -4.4343e+00 +8.3337e-01 +2.4909e+00 -1.7733e+00
905 +1.378137363e+00 +1.378137363e+00 -5.097186264e+01 -5.097186264e+01 -7.8066e-01 -1.9170e+00 +1.2015e+00 -2.4593e+00 -8.0649e-01 +3.5285e+00 -3.8516e+00 -3.2539e-01 +2.6211e+00 -2.2126e+00
1091 +7.334944917e-01 +7.334944917e-01 -5.161650551e+01 -5.161650551e+01 -1.1567e+00 -6.7796e-01 +2.8691e+00 -2.1387e+00 -7.6735e-01 +3.7035e+00 -3.8548e+00 +2.7076e-01 +3.0699e+00 -1.5306e+00
1572 +2.579719200e-01 +2.579719200e-01 -5.209202808e+01 -5.209202808e+01 -1.0812e+00 -1.4811e+00 +2.1969e+00 -2.2849e+00 -1.3837e+00 +3.2284e+00 -3.7500e+00 -2.2946e-01 +2.8441e+00 -1.7303e+00
1940 +2.415718453e-01 +2.415718453e-01 -5.210842815e+01 -5.210842815e+01 -1.0839e+00 -1.4442e+00 +2.4222e+00 -2.2997e+00 -1.3008e+00 +3.5860e+00 -3.3705e+00 -1.1594e-01 +2.8919e+00 -1.5857e+00
2410 +1.531050533e-01 +1.531050533e-01 -5.219689495e+01 -5.219689495e+01 -1.0539e+00 -1.2099e+00 +2.1935e+00 -2.3067e+00 -1.4596e+00 +3.7619e+00 -3.9022e+00 +1.4216e-01 +2.8381e+00 -1.5402e+00
