% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.066018762e+01 +6.066018762e+01 +8.310187621e+00 +8.310187621e+00 -4.0206e+00 -4.2657e+00 +3.1229e+00 +3.5297e+00 -4.4179e+00 +4.2514e+00 +1.1302e+00 +1.2608e+00 +4.6682e+00 -4.1647e+00 +3.9154e-01 +1.9570e+00 -4.2016e+00 -2.1700e+00 +4.3646e+00 +3.1745e+00 -1.8353e+00 +7.0379e-02 +1.9908e+00 +2.7006e+00
121 +3.750553899e+01 +3.750553899e+01 -1.484446101e+01 -1.484446101e+01 -5.0000e+00 -5.0000e+00 +3.5449e+00 -4.7532e+00 -5.0000e+00 +3.8558e+00 -4.7418e+00 +2.0252e+00 +3.2867e+00 +6.5617e-01 +2.2898e+00 +9.5744e-01 -8.3846e-01 -3.1833e+00 +3.0324e+00 -4.6556e-01 -1.2031e+00 -2.7700e+00 -4.1037e-01 +3.3257e+00
178 +2.293173601e+01 +2.293173601e+01 -2.941826399e+01 -2.941826399e+01 -5.0000e+00 -5.0000e+00 +2.1963e+00 -5.0000e+00 -4.8734e+00 +2.7389e+00 -5.0000e+00 +1.5729e-01 +3.4721e+00 +0.0000e+00 +5.0305e-01 +0.0000e+00 -8.8938e-01 -3.6291e+00 +5.5614e-01 -1.2243e+00 +3.2182e-01 -1.2545e+00 -2.2495e-02 -4.5757e-01
490 +1.202551094e+01 +1.202551094e+01 -4.032448906e+01 -4.032448906e+01 -4.5594e+00 -2.8405e+00 +3.1034e+00 +6.5327e-01 -3.8477e+00 +4.3676e+00 -4.8709e+00 +9.6219e-01 +1.6836e+00 -5.0000e+00 +4.0258e+00 -2.5032e+00 +1.0772e+00 -1.6433e+00 -3.0497e+00 +2.0683e+00 +1.0223e+00 +0.0000e+00 +2.1118e-01 -6.8752e-01
723 +8.311696784e+00 +8.311696784e+00 -4.403830322e+01 -4.403830322e+01 -4.9752e+00 -2.3877e+00 +5.0000e+00 -6.8586e-01 -2.5048e+00 +3.9666e+00 -4.8280e+00 +9.0502e-01 +3.1979e+00 -3.7453e+00 +4.8011e+00 -2.5736e+00 +2.6533e+00 -3.5403e+00 -2.1102e+00 +2.9750e+00 -7.0869e-01 +1.3963e+00 +1.5224e+00 -2.2359e+00
1623 +6.229880401e+00 +6.229880401e+00 -4.612011960e+01 -4.612011960e+01 -4.9157e+00 -1.9828e+00 +4.6136e+00 -2.5000e+00 -2.1953e+00 +4.2993e+00 -5.0000e+00 +7.8981e-02 +2.2600e+00 -3.8101e+00 +4.0729e+00 -5.4218e-01 +3.4748e+00 -1.5105e+00 -1.8935e+00 +2.9111e+00 -1.4392e+00 +8.0059e-01 +1.1020e+00 -2.9807e+00
3032 +3.926712968e+00 +3.926712968e+00 -4.842328703e+01 -4.842328703e+01 -4.6763e+00 -1.4287e+00 +2.9431e+00 -2.4074e+00 -1.8355e+00 +3.4674e+00 -5.0000e+00 +2.9404e-01 +2.7509e+00 -2.5000e+00 +2.8348e+00 -6.2210e-01 +3.5395e+00 -1.2178e+00 -1.8979e+00 +1.3972e+00 -4.9083e-01 +1.6863e+00 +2.4737e+00 -3.9945e+00
% function evaluation | noise-free fitness - Fopt (-1.795400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.939505742e+02 +1.939505742e+02 +1.441057417e+01 +1.441057417e+01 +3.6413e+00 +4.8305e+00 -1.5727e+00 -1.0246e+00 -8.7438e-01 -4.6399e+00 -2.4104e+00 -2.7667e+00 +4.3034e+00 +1.3436e+00 -9.0205e-01 +6.8619e-01 -1.6007e+00 +3.9176e+00 +1.9123e+00 -2.5677e+00 -2.5194e-01 -1.3750e+00 -2.1759e+00 +3.2722e+00
3 +1.572737776e+02 +1.572737776e+02 -2.226622236e+01 -2.226622236e+01 -1.8210e+00 -1.5259e+00 -4.7722e+00 -3.2929e+00 +4.6846e+00 -1.1430e+00 -1.8359e+00 +1.9056e+00 +4.4117e+00 -4.2936e+00 -2.6240e+00 -2.7601e+00 -3.5017e+00 +4.1032e+00 +4.6838e+00 -3.8964e+00 -6.1510e-01 -4.3272e-01 -1.1715e-01 +4.6562e+00
